fra;jour;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-05-20;39;45;84;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-20;37;44;81;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-20;107;46;153;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-20;80;23;104;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-20;618;435;1060;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-21;4;4;8;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-21;5;7;12;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-21;10;15;25;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-21;13;6;19;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-21;12;7;19;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-21;7;10;17;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-21;4;11;15;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-21;12;15;27;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-21;20;10;30;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-21;17;8;25;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-21;104;93;197;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-22;11;12;24;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-22;18;19;39;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-22;53;63;116;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-22;47;44;93;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-22;61;52;114;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-22;56;42;98;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-22;30;31;62;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-22;46;39;86;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-22;68;38;106;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-22;71;16;87;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-22;461;358;827;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-23;4;2;6;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-23;17;10;29;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-23;19;11;31;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-23;19;12;33;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-23;13;10;23;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-23;15;20;37;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-23;7;14;21;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-23;13;16;29;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-23;21;15;36;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-23;17;4;22;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-23;145;114;267;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-24;2;2;4;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-24;13;7;22;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-24;14;12;26;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-24;5;6;13;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-24;5;8;13;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-24;3;6;9;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-24;4;9;13;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-24;5;11;16;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-24;14;2;16;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-24;7;1;8;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-24;72;64;140;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-25;8;7;16;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-25;19;26;46;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-25;46;39;85;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-25;59;33;93;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-25;60;37;98;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-25;47;27;74;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-25;30;43;74;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-25;26;29;55;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-25;75;30;105;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-25;61;10;71;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-25;431;281;717;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-26;11;8;29;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-26;17;28;46;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-26;52;46;99;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-26;47;38;86;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-26;49;57;109;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-26;65;34;99;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-26;33;32;65;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-26;30;21;51;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-26;60;32;94;1993317.74632008;1251962.86181089;89;3245280.60813097
